question,resolution,date_begin,date_resolve_at,baseline_strength,baseline_brier,conversational_strength,conversational_brier
"Will Ukraine regain control of its pre-2014 territory (including Crimea and Donbas) by 2025?",0,2022-06-06,2024-12-31,0.078,0.006084,0.5,0.25
"Will Bitcoin reach $10k before it reaches $100k?",0,2022-06-17,2024-12-05,0.55,0.30250000000000005,0.5,0.25
"If Trump is elected President in 2024, will he have won the popular vote?",1,2022-06-06,2024-11-06,0.311,0.47472100000000006,0.5,0.25
"Will Ron DeSantis be the 2024 Republican presidential nominee?",0,2022-06-28,2024-01-22,0.483,0.233289,0.5,0.25
"Will Elon Musk step down from being Tesla CEO before 2024?",0,2022-06-04,2024-01-01,0.276,0.07617600000000001,0.5,0.25
"Will Biden complete his term?",1,2022-07-21,2025-01-20,0.933,0.004488999999999993,0.5,0.25
"Will there be a robust third party movement in America that impacts the 2024 Presidential race?",0,2022-07-28,2024-11-14,0.159,0.025281,0.5,0.25
"Will Gavin Newsom run for president in 2024?",0,2022-07-26,2024-08-25,0.087,0.007568999999999999,0.5,0.25
"Will Manifold average >10k Daily Active Users before January 2024?",0,2022-07-11,2024-01-01,0.436,0.190096,0.5,0.25
"Will a Democrat win the 2024 US presidential election?",0,2022-08-24,2024-11-06,0.618,0.381924,0.5,0.25
"What is the Risk Free Interest Rate on Manifold Markets until Election Day 2024?",0,2022-08-01,2024-11-06,0.015,0.000225,0.5,0.25
"Will Liz Cheney run for president in 2024?",0,2022-08-17,2024-06-01,0.173,0.029928999999999997,0.5,0.25
"Will Mark Cuban run for president in 2024?",0,2022-08-15,2024-01-18,0.076,0.005776,0.5,0.25
"Will Glenn Youngkin run for president in 2024?",0,2022-08-17,2024-01-14,0.464,0.21529600000000002,0.5,0.25
"Were any of the COVID-19 vaccines designed to cause infertility, contain microchips, or have any other secret effects?",0,2022-08-06,2024-01-01,0.046,0.002116,0.5,0.25
"Will the Liberal Party form the next Canadian government?",1,2022-09-11,2025-04-29,0.309,0.4774810000000001,0.5,0.25
"Will a Galactic Federation reveal itself to humanity by the end of 2024?",0,2022-09-15,2025-01-16,0.025,0.0006250000000000001,0.5,0.25
"Will vegan pizza be commonly available at one of the big four pizza chains in the US by the end of 2024?",0,2022-09-20,2025-01-01,0.411,0.168921,0.5,0.25
"Will an AI be able to speedrun any popular video game faster than the human WR by the end of 2024?",0,2022-09-24,2025-01-01,0.28,0.07840000000000001,0.5,0.25
"Will the first attempt to catch a starship booster with Mechazilla result in the booster exploding",0,2022-09-15,2024-10-17,0.219,0.047961,0.5,0.25
"Will Biden and Trump be the next presidential nominees of their parties?",0,2022-09-22,2024-08-08,0.656,0.43033600000000005,0.5,0.25
"Will Joe Biden WIN the 2024 Presidential election for Democrats?",0,2022-09-09,2024-07-21,0.537,0.28836900000000004,0.5,0.25
"Will Mickey Mouse enter the public domain on Jan 1st, 2024?",1,2022-09-14,2024-01-01,0.945,0.0030250000000000055,0.5,0.25
"Will Vladimir Putin die in any way by 2024?",0,2022-09-18,2024-01-01,0.12,0.0144,0.5,0.25
"Will a nuclear weapon be detonated while Biden is President?",0,2022-10-16,2025-02-13,0.277,0.07672900000000002,0.5,0.25
"Will the government of the Islamic Republic of Iran fall by the end of 2024?",0,2022-10-01,2025-01-23,0.063,0.003969,0.5,0.25
"Will Marijuana be removed from Schedule I of the US Controlled Substance Act by the end of Biden's current term?",0,2022-10-21,2025-01-20,0.57,0.32489999999999997,0.5,0.25
"Will Kamala Harris be the Democratic Nominee for President in 2024?",1,2022-10-21,2024-08-06,0.081,0.8445610000000001,0.5,0.25
"Will Gavin Newsom be the Democratic Nominee for President in 2024?",0,2022-10-21,2024-08-06,0.083,0.006889000000000001,0.5,0.25
"Will the 2024 presidential race be Joe Biden vs Donald Trump?",0,2022-10-21,2024-07-21,0.733,0.537289,0.5,0.25
"Will Bitcoin’s price reach all-time high by the end of 2024?",1,2022-10-21,2024-03-07,0.375,0.390625,0.5,0.25
"Will more than 20 organizations publicly train large language models by 2024?",0,2022-10-16,2024-01-09,0.022,0.00048399999999999995,0.5,0.25
"Will there be realistic AI generated video with dialogue by 2024?",0,2022-10-06,2024-01-08,0.059,0.0034809999999999997,0.5,0.25
"Will it be possible for AI to generate reasonably good video ads by (start of) 2024?",0,2022-10-06,2024-01-08,0.186,0.034596,0.5,0.25
"In the 2024 US election, will Manifold beat 538 on accuracy?",1,2022-11-22,2025-05-13,0.529,0.22184099999999998,0.5,0.25
"Will Biden be impeached by 2025?",0,2022-11-02,2025-01-21,0.131,0.017161000000000003,0.5,0.25
"Will the Russia-Ukraine war end during 2024?",0,2022-11-11,2025-01-01,0.235,0.055224999999999996,0.5,0.25
"Will Dwayne Johnson win the 2024 US Presidential Election?",0,2021-12-28,2025-01-21,0.018,0.00032399999999999996,0.5,0.25
"Will Pete Buttigieg be the 2024 Democratic nominee?",0,2021-12-30,2024-08-06,0.046,0.002116,0.5,0.25
"Will Donald Trump be the Republican nominee for president in 2024?",1,2021-12-30,2024-07-16,0.319,0.4637610000000001,0.5,0.25
"Will Ukraine be an official member of NATO by 2025?",0,2022-01-14,2025-01-04,0.097,0.009409,0.5,0.25
"Will the value of Bitcoin pass 100k USD by the end of 2024?",1,2022-01-12,2024-12-06,0.15,0.7224999999999999,0.5,0.25
"Will Donald Trump win the 2024 US Presidential Election?",1,2022-01-14,2024-11-06,0.216,0.6146560000000001,0.5,0.25
"If Kamala Harris becomes the Democratic nominee, will she win the 2024 election?",0,2022-01-15,2024-11-06,0.38,0.1444,0.5,0.25
"Will Joe Biden win the 2024 US Presidential Election?",0,2022-01-14,2024-07-21,0.444,0.197136,0.5,0.25
"Will Biden be the 2024 Democratic Nominee?",0,2022-01-17,2024-07-21,0.672,0.45158400000000004,0.5,0.25
"Will Sweden be an official member of NATO by 2025?",1,2022-01-14,2024-03-08,0.84,0.02560000000000001,0.5,0.25
"Will at least 10 world cities have a generally available self-driving taxi service by 2025?",1,2022-02-13,2024-12-31,0.516,0.234256,0.5,0.25
"Will a Democrat win the White House in 2024?",0,2022-02-14,2024-11-06,0.565,0.3192249999999999,0.5,0.25
"Will Joe Biden resign in his first term?",0,2022-03-05,2025-01-20,0.02,0.0004,0.5,0.25
"Will either Joe Biden or Donald Trump be elected President in 2024?",1,2022-03-06,2024-11-06,0.576,0.17977600000000005,0.5,0.25
"Will Sweden join NATO before 2024?",0,2022-03-05,2024-01-01,0.568,0.32262399999999997,0.5,0.25
"Will ""World War 3"" have begun by 2025?",0,2022-04-17,2025-01-11,0.133,0.017689000000000003,0.5,0.25
"This question will resolve positively on the 1st of January, 2025",1,2022-04-08,2025-01-02,0.989,0.00012100000000000022,0.5,0.25
"Will Jimmy Carter become a centenarian?",1,2022-04-18,2024-10-01,0.118,0.7779240000000001,0.5,0.25
"This question will resolve positively on the 1st of January, 2024",1,2022-04-08,2024-01-01,0.993,4.9000000000000087e-05,0.5,0.25
"Will the next Pope be a Black man?",0,2022-05-04,2025-05-08,0.105,0.011024999999999998,0.5,0.25
"Will people care about prediction markets by 2025?",0,2022-05-10,2025-01-03,0.204,0.04161599999999999,0.5,0.25
"Will China invade Taiwan by the end of 2024?",0,2022-05-09,2025-01-01,0.067,0.004489000000000001,0.5,0.25
"Will Donald Trump be the Republican presidential nominee for 2024?",1,2022-05-25,2024-07-22,0.43,0.3249000000000001,0.5,0.25
"Will Joe Biden get impeached in his first term?",0,2022-06-15,2025-01-20,0.141,0.019880999999999996,0.5,0.25
"Will Ukraine regain control of its pre-2014 territory (including Crimea and Donbas) by 2025?",0,2022-06-06,2024-12-31,0.078,0.006084,0.5,0.25
"Will Bitcoin reach $10k before it reaches $100k?",0,2022-06-17,2024-12-05,0.55,0.30250000000000005,0.5,0.25
"If Trump is elected President in 2024, will he have won the popular vote?",1,2022-06-06,2024-11-06,0.311,0.47472100000000006,0.5,0.25
"Will Ron DeSantis be the 2024 Republican presidential nominee?",0,2022-06-28,2024-01-22,0.483,0.233289,0.5,0.25
"Will Elon Musk step down from being Tesla CEO before 2024?",0,2022-06-04,2024-01-01,0.276,0.07617600000000001,0.5,0.25
"Will Biden complete his term?",1,2022-07-21,2025-01-20,0.933,0.004488999999999993,0.5,0.25
"Will there be a robust third party movement in America that impacts the 2024 Presidential race?",0,2022-07-28,2024-11-14,0.159,0.025281,0.5,0.25
"Will Gavin Newsom run for president in 2024?",0,2022-07-26,2024-08-25,0.087,0.007568999999999999,0.5,0.25
"Will Manifold average >10k Daily Active Users before January 2024?",0,2022-07-11,2024-01-01,0.436,0.190096,0.5,0.25
"Will a Democrat win the 2024 US presidential election?",0,2022-08-24,2024-11-06,0.618,0.381924,0.5,0.25
"What is the Risk Free Interest Rate on Manifold Markets until Election Day 2024?",0,2022-08-01,2024-11-06,0.015,0.000225,0.5,0.25
"Will Liz Cheney run for president in 2024?",0,2022-08-17,2024-06-01,0.173,0.029928999999999997,0.5,0.25
"Will Mark Cuban run for president in 2024?",0,2022-08-15,2024-01-18,0.076,0.005776,0.5,0.25
"Will Glenn Youngkin run for president in 2024?",0,2022-08-17,2024-01-14,0.464,0.21529600000000002,0.5,0.25
"Were any of the COVID-19 vaccines designed to cause infertility, contain microchips, or have any other secret effects?",0,2022-08-06,2024-01-01,0.046,0.002116,0.5,0.25
"Will the Liberal Party form the next Canadian government?",1,2022-09-11,2025-04-29,0.309,0.4774810000000001,0.5,0.25
"Will a Galactic Federation reveal itself to humanity by the end of 2024?",0,2022-09-15,2025-01-16,0.025,0.0006250000000000001,0.5,0.25
"Will vegan pizza be commonly available at one of the big four pizza chains in the US by the end of 2024?",0,2022-09-20,2025-01-01,0.411,0.168921,0.5,0.25
"Will an AI be able to speedrun any popular video game faster than the human WR by the end of 2024?",0,2022-09-24,2025-01-01,0.28,0.07840000000000001,0.5,0.25
"Will the first attempt to catch a starship booster with Mechazilla result in the booster exploding",0,2022-09-15,2024-10-17,0.219,0.047961,0.5,0.25
"Will Biden and Trump be the next presidential nominees of their parties?",0,2022-09-22,2024-08-08,0.656,0.43033600000000005,0.5,0.25
"Will Joe Biden WIN the 2024 Presidential election for Democrats?",0,2022-09-09,2024-07-21,0.537,0.28836900000000004,0.5,0.25
"Will Mickey Mouse enter the public domain on Jan 1st, 2024?",1,2022-09-14,2024-01-01,0.945,0.0030250000000000055,0.5,0.25
"Will Vladimir Putin die in any way by 2024?",0,2022-09-18,2024-01-01,0.12,0.0144,0.5,0.25
"Will a nuclear weapon be detonated while Biden is President?",0,2022-10-16,2025-02-13,0.277,0.07672900000000002,0.5,0.25
"Will the government of the Islamic Republic of Iran fall by the end of 2024?",0,2022-10-01,2025-01-23,0.063,0.003969,0.5,0.25
"Will Marijuana be removed from Schedule I of the US Controlled Substance Act by the end of Biden's current term?",0,2022-10-21,2025-01-20,0.57,0.32489999999999997,0.5,0.25
"Will Kamala Harris be the Democratic Nominee for President in 2024?",1,2022-10-21,2024-08-06,0.081,0.8445610000000001,0.5,0.25
"Will Gavin Newsom be the Democratic Nominee for President in 2024?",0,2022-10-21,2024-08-06,0.083,0.006889000000000001,0.5,0.25
"Will the 2024 presidential race be Joe Biden vs Donald Trump?",0,2022-10-21,2024-07-21,0.733,0.537289,0.5,0.25
"Will Bitcoin’s price reach all-time high by the end of 2024?",1,2022-10-21,2024-03-07,0.375,0.390625,0.5,0.25
"Will more than 20 organizations publicly train large language models by 2024?",0,2022-10-16,2024-01-09,0.022,0.00048399999999999995,0.5,0.25
"Will there be realistic AI generated video with dialogue by 2024?",0,2022-10-06,2024-01-08,0.059,0.0034809999999999997,0.5,0.25
"Will it be possible for AI to generate reasonably good video ads by (start of) 2024?",0,2022-10-06,2024-01-08,0.186,0.034596,0.5,0.25
"In the 2024 US election, will Manifold beat 538 on accuracy?",1,2022-11-22,2025-05-13,0.529,0.22184099999999998,0.5,0.25
"Will Biden be impeached by 2025?",0,2022-11-02,2025-01-21,0.131,0.017161000000000003,0.5,0.25
"Will the Russia-Ukraine war end during 2024?",0,2022-11-11,2025-01-01,0.235,0.055224999999999996,0.5,0.25
"Will Manifold announce they intend to shut down before 2025?",0,2022-11-29,2025-01-01,0.071,0.0050409999999999995,0.5,0.25
"Will OpenAI suggest GPT-4 is AGI?",0,2022-11-23,2025-01-01,0.045,0.002025,0.5,0.25
"Will China invade Taiwan in 2024?",0,2022-11-19,2025-01-01,0.062,0.0038439999999999998,0.5,0.25
"Will substantial evidence emerge by 2025 that the FTX Future Fund team had strong suspicions of fraudulent activities at FTX before November 2022?",0,2022-11-12,2024-12-31,0.024,0.000576,0.5,0.25
"Will Mitch McConnell stop being Senate Republican Leader by the next presidential inauguration (20 Jan 2025)?",1,2022-11-30,2024-11-13,0.691,0.09548100000000004,0.5,0.25
"Will Ron DeSantis be elected US President in 2024?",0,2022-11-09,2024-11-06,0.034,0.0011560000000000001,0.5,0.25
"Will Donald Trump claim election fraud against opponents in the 2024 Republican Party presidential primaries",0,2022-11-10,2024-11-04,0.505,0.255025,0.5,0.25
"Will Elon Musk endorse Donald Trump for 2024 presidency?",1,2022-11-18,2024-07-13,0.162,0.702244,0.5,0.25
"Will Sir Keir Starmer (Labour Party) be the UK's next prime minister?",1,2022-11-15,2024-07-05,0.83,0.028900000000000012,0.5,0.25
"Will AAPL hit $200 before hitting $100?",1,2022-11-05,2024-06-11,0.945,0.0030250000000000055,0.5,0.25
"Will Bibi Netanyahu be invited to address the 118th US Congress?",1,2022-11-02,2024-05-31,0.393,0.36844899999999997,0.5,0.25
"Will Destiny and Melina finalize their divorce legally in 2024?",1,2022-11-08,2024-01-25,0.378,0.386884,0.5,0.25
"Will there be realistic  AI generated video from natural language descriptions by the start of 2024?",0,2022-11-17,2024-01-08,0.106,0.011236,0.5,0.25
"Will Hasan And Destiny Talk On Stream Before 2024?",0,2022-11-11,2024-01-01,0.03,0.0009,0.5,0.25
"Will Destiny talk to Ethan Klein publicly before 2024?",0,2022-11-18,2024-01-01,0.053,0.002809,0.5,0.25
"Will Destiny go back on The Lex Fridman Podcast before 2024?",0,2022-11-12,2024-01-01,0.945,0.893025,0.5,0.25
"Will Vladimir Putin appear on the Lex Fridman podcast?",0,2022-11-12,2024-01-01,0.023,0.000529,0.5,0.25
"Will Twitter go bankrupt before 2024?",0,2022-11-10,2024-01-01,0.055,0.003025,0.5,0.25
"Will Ukraine sever the land bridge between Crimea and Russia before 2024?",0,2022-11-25,2024-01-01,0.372,0.138384,0.5,0.25
"By the end of 2024 will there be a mostly AI generated game with $1 million or more in revenue?",0,2022-12-07,2025-06-05,0.146,0.021315999999999998,0.5,0.25
"Will Donald Trump ever be president again?",1,2022-12-08,2025-04-05,0.409,0.34928099999999995,0.5,0.25
"Will Joe Biden Publicly Refer to a Specific AI Model While President?",0,2022-12-28,2025-01-31,0.687,0.4719690000000001,0.5,0.25
"Will an AI win a gold medal on the IOI (competitive programming contest) before 2025?",0,2022-12-06,2025-01-01,0.129,0.016641,0.5,0.25
"Will Hunter Biden be pardoned by his father at any point in his father's current term?",1,2022-12-06,2024-12-01,0.084,0.839056,0.5,0.25
"Will a democrat win the 2024 presidential election in Michigan?",0,2022-12-11,2024-12-01,0.737,0.543169,0.5,0.25
"Will a Democrat win the 2024 US Senate election in Texas?",0,2022-12-12,2024-11-06,0.174,0.030275999999999997,0.5,0.25
"Will a Democrat win the 2024 US Senate election in Montana?",0,2022-12-10,2024-11-06,0.36,0.1296,0.5,0.25
"Will a democrat win the 2024 presidential election in Georgia?",0,2022-12-11,2024-11-06,0.627,0.393129,0.5,0.25
"Will Donald Trump win the 2024 presidential election?",1,2022-12-07,2024-11-06,0.196,0.6464160000000001,0.5,0.25
"Will Ted Cruz win the 2024 US Senate election in Texas?",1,2022-12-25,2024-11-06,0.767,0.05428899999999999,0.5,0.25
"Has Tesla been grossly misrepresenting the range of it's semi truck?",0,2022-12-17,2024-08-11,0.71,0.5041,0.5,0.25
"Will Joe Biden face a primary challenge in 2024?",0,2022-12-21,2024-06-19,0.214,0.045795999999999996,0.5,0.25
"Does SBF get a sentence of 20 years or more?",1,2022-12-28,2024-03-28,0.832,0.028224000000000013,0.5,0.25
"Does SBF get a sentence of 50 years or more?",0,2022-12-12,2024-03-28,0.271,0.073441,0.5,0.25
"Will Sam Bankman-Fried receive a prison sentence of over 44 years?",0,2022-12-26,2024-03-28,0.542,0.293764,0.5,0.25
"Will a Neuralink device be implanted in a human brain by the end of 2024?",1,2022-12-01,2024-03-20,0.672,0.10758399999999997,0.5,0.25
"Will president Biden “mint the coin” at any point during his administration?",0,2023-01-08,2025-02-07,0.018,0.00032399999999999996,0.5,0.25
"Will Germany legalize Cannabis before 2025?",1,2023-01-03,2025-02-01,0.862,0.019044000000000002,0.5,0.25
"Will the Doomsday Clock advance toward midnight in/by January 2025?",1,2023-01-22,2025-01-28,0.771,0.052440999999999995,0.5,0.25
"Will TikTok be banned in the United States for the majority of the population by the end of 2024?",0,2023-01-26,2025-01-04,0.094,0.008836,0.5,0.25
"Will Aella be romantically or sexually involved with Destiny by the end of 2024?",0,2023-01-01,2025-01-02,0.287,0.08236899999999998,0.5,0.25
"Will YouTube Music be discontinued before 2025?",0,2023-01-10,2025-01-02,0.195,0.038025,0.5,0.25
"Will Ukraine regain control over Crimea before the end of 2024?",0,2023-01-07,2025-01-01,0.16,0.0256,0.5,0.25
"Will Google still be the most popular search engine at the end of 2024?",1,2023-01-29,2025-01-01,0.937,0.003968999999999993,0.5,0.25
"Will the Ukraine war end by 2025?",0,2023-01-16,2025-01-01,0.283,0.08008899999999998,0.5,0.25
"Will the winner of the electoral college also win the popular vote in 2024?",1,2023-01-29,2024-11-07,0.759,0.058080999999999994,0.5,0.25
"Will Scott Alexander endorse a presidential candidate in 2024?",0,2023-01-04,2024-11-07,0.468,0.21902400000000002,0.5,0.25
"Will a Democrat win the US 2024 presidential election?",0,2023-01-21,2024-11-06,0.593,0.351649,0.5,0.25
"Will Republicans take the majority in the US Senate in 2024?",1,2023-01-05,2024-11-06,0.813,0.03496900000000002,0.5,0.25
"Will AI be a major topic during the 2024 presidential debates in the United States? (please read criteria)",0,2023-01-23,2024-11-04,0.471,0.22184099999999998,0.5,0.25
"Will the proposed TikTok ban pass in the Senate?",1,2023-01-08,2024-04-23,0.167,0.693889,0.5,0.25
"Is GPT-4 a mixture of experts?",1,2023-01-06,2024-03-19,0.922,0.006083999999999993,0.5,0.25
"Will the TikTok ban pass the House?",1,2023-01-08,2024-03-13,0.358,0.41216400000000003,0.5,0.25
"Will the Doomsday Clock advance toward midnight in/by January 2024",0,2023-01-21,2024-01-23,0.698,0.4872039999999999,0.5,0.25
"Will YouTube Music be discontinued before 2024?",0,2023-01-10,2024-01-02,0.014,0.00019600000000000002,0.5,0.25
"Will Manifold Markets have a Wikipedia page this year?",0,2023-01-31,2024-01-02,0.729,0.5314409999999999,0.5,0.25
"Will the Russia-Ukraine war end by 2024?",0,2023-01-23,2024-01-01,0.022,0.00048399999999999995,0.5,0.25
"Will Saudi Arabia abandon (or vastly scale back) the NEOM linear city project by 2028?",1,2023-02-18,2025-05-30,0.538,0.21344399999999997,0.5,0.25
"By 2025, will at least one song in the Billboard Hot 100 have been primarily AI-generated?",0,2023-02-07,2025-02-13,0.508,0.258064,0.5,0.25
"Will we have end to end AI generated anime series by the end of 2024?",0,2023-02-27,2025-02-04,0.31,0.0961,0.5,0.25
"Will language models or similar natural language processing technologies, such as ChatGPT, be integrated into dialogue trees for NPCs in triple-A games by the end of 2024",0,2023-02-22,2025-01-20,0.154,0.023716,0.5,0.25
"Will Manifold announce they intend to shut down before 2025?",0,2022-11-29,2025-01-01,0.071,0.0050409999999999995,0.5,0.25
"Will OpenAI suggest GPT-4 is AGI?",0,2022-11-23,2025-01-01,0.045,0.002025,0.5,0.25
"Will China invade Taiwan in 2024?",0,2022-11-19,2025-01-01,0.062,0.0038439999999999998,0.5,0.25
"Will substantial evidence emerge by 2025 that the FTX Future Fund team had strong suspicions of fraudulent activities at FTX before November 2022?",0,2022-11-12,2024-12-31,0.024,0.000576,0.5,0.25
"Will Mitch McConnell stop being Senate Republican Leader by the next presidential inauguration (20 Jan 2025)?",1,2022-11-30,2024-11-13,0.691,0.09548100000000004,0.5,0.25
"Will Ron DeSantis be elected US President in 2024?",0,2022-11-09,2024-11-06,0.034,0.0011560000000000001,0.5,0.25
"Will Donald Trump claim election fraud against opponents in the 2024 Republican Party presidential primaries",0,2022-11-10,2024-11-04,0.505,0.255025,0.5,0.25
"Will Elon Musk endorse Donald Trump for 2024 presidency?",1,2022-11-18,2024-07-13,0.162,0.702244,0.5,0.25
"Will Sir Keir Starmer (Labour Party) be the UK's next prime minister?",1,2022-11-15,2024-07-05,0.83,0.028900000000000012,0.5,0.25
"Will AAPL hit $200 before hitting $100?",1,2022-11-05,2024-06-11,0.945,0.0030250000000000055,0.5,0.25
"Will Bibi Netanyahu be invited to address the 118th US Congress?",1,2022-11-02,2024-05-31,0.393,0.36844899999999997,0.5,0.25
"Will Destiny and Melina finalize their divorce legally in 2024?",1,2022-11-08,2024-01-25,0.378,0.386884,0.5,0.25
"Will there be realistic  AI generated video from natural language descriptions by the start of 2024?",0,2022-11-17,2024-01-08,0.106,0.011236,0.5,0.25
"Will Hasan And Destiny Talk On Stream Before 2024?",0,2022-11-11,2024-01-01,0.03,0.0009,0.5,0.25
"Will Destiny talk to Ethan Klein publicly before 2024?",0,2022-11-18,2024-01-01,0.053,0.002809,0.5,0.25
"Will Destiny go back on The Lex Fridman Podcast before 2024?",0,2022-11-12,2024-01-01,0.945,0.893025,0.5,0.25
"Will Vladimir Putin appear on the Lex Fridman podcast?",0,2022-11-12,2024-01-01,0.023,0.000529,0.5,0.25
"Will Twitter go bankrupt before 2024?",0,2022-11-10,2024-01-01,0.055,0.003025,0.5,0.25
"Will Ukraine sever the land bridge between Crimea and Russia before 2024?",0,2022-11-25,2024-01-01,0.372,0.138384,0.5,0.25
"By the end of 2024 will there be a mostly AI generated game with $1 million or more in revenue?",0,2022-12-07,2025-06-05,0.146,0.021315999999999998,0.5,0.25
"Will Donald Trump ever be president again?",1,2022-12-08,2025-04-05,0.409,0.34928099999999995,0.5,0.25
"Will Joe Biden Publicly Refer to a Specific AI Model While President?",0,2022-12-28,2025-01-31,0.687,0.4719690000000001,0.5,0.25
"Will an AI win a gold medal on the IOI (competitive programming contest) before 2025?",0,2022-12-06,2025-01-01,0.129,0.016641,0.5,0.25
"Will Hunter Biden be pardoned by his father at any point in his father's current term?",1,2022-12-06,2024-12-01,0.084,0.839056,0.5,0.25
"Will a democrat win the 2024 presidential election in Michigan?",0,2022-12-11,2024-12-01,0.737,0.543169,0.5,0.25
"Will a Democrat win the 2024 US Senate election in Texas?",0,2022-12-12,2024-11-06,0.174,0.030275999999999997,0.5,0.25
"Will a Democrat win the 2024 US Senate election in Montana?",0,2022-12-10,2024-11-06,0.36,0.1296,0.5,0.25
"Will a democrat win the 2024 presidential election in Georgia?",0,2022-12-11,2024-11-06,0.627,0.393129,0.5,0.25
"Will Donald Trump win the 2024 presidential election?",1,2022-12-07,2024-11-06,0.196,0.6464160000000001,0.5,0.25
"Will Ted Cruz win the 2024 US Senate election in Texas?",1,2022-12-25,2024-11-06,0.767,0.05428899999999999,0.5,0.25
"Has Tesla been grossly misrepresenting the range of it's semi truck?",0,2022-12-17,2024-08-11,0.71,0.5041,0.5,0.25
"Will Joe Biden face a primary challenge in 2024?",0,2022-12-21,2024-06-19,0.214,0.045795999999999996,0.5,0.25
"Does SBF get a sentence of 20 years or more?",1,2022-12-28,2024-03-28,0.832,0.028224000000000013,0.5,0.25
"Does SBF get a sentence of 50 years or more?",0,2022-12-12,2024-03-28,0.271,0.073441,0.5,0.25
"Will Sam Bankman-Fried receive a prison sentence of over 44 years?",0,2022-12-26,2024-03-28,0.542,0.293764,0.5,0.25
"Will a Neuralink device be implanted in a human brain by the end of 2024?",1,2022-12-01,2024-03-20,0.672,0.10758399999999997,0.5,0.25
"Will president Biden “mint the coin” at any point during his administration?",0,2023-01-08,2025-02-07,0.018,0.00032399999999999996,0.5,0.25
"Will Germany legalize Cannabis before 2025?",1,2023-01-03,2025-02-01,0.862,0.019044000000000002,0.5,0.25
"Will the Doomsday Clock advance toward midnight in/by January 2025?",1,2023-01-22,2025-01-28,0.771,0.052440999999999995,0.5,0.25
"Will TikTok be banned in the United States for the majority of the population by the end of 2024?",0,2023-01-26,2025-01-04,0.094,0.008836,0.5,0.25
"Will Aella be romantically or sexually involved with Destiny by the end of 2024?",0,2023-01-01,2025-01-02,0.287,0.08236899999999998,0.5,0.25
"Will YouTube Music be discontinued before 2025?",0,2023-01-10,2025-01-02,0.195,0.038025,0.5,0.25
"Will Ukraine regain control over Crimea before the end of 2024?",0,2023-01-07,2025-01-01,0.16,0.0256,0.5,0.25
